PUBUKPRN,UKPRN,KISCOURSEID,KISMODE,TARPOP,TARAGG,TARSBJ,T001,T048,T064,T080,T096,T112,T128,T144,T160,T176,T192,T208,T224,T240
10000291,10000291,K00142,1,20,14,,15,0,10,30,20,5,15,0,5,5,0,0,0,0
10000291,10000291,K00143,1,10,14,,10,0,30,0,50,0,0,10,0,0,0,0,0,0
10000291,10000291,K00144,1,15,13,048,0,5,0,25,5,25,5,15,20,0,0,0,0,0
10000291,10000291,K00145,1,15,13,048,0,5,0,25,5,25,5,15,20,0,0,0,0,0
10000291,10000291,K00146,1,20,24,,0,10,15,25,15,20,0,5,5,0,0,0,0,0
10000291,10000291,K00147,1,15,24,,0,5,0,20,5,25,15,15,20,0,0,0,0,0
10000291,10000291,K00152,1,45,14,,0,0,0,5,20,45,20,10,0,0,0,0,0,0
10000291,10000291,K00153,1,40,14,,0,10,20,25,20,15,5,5,5,0,0,0,0,0
10000291,10000291,K00154,1,15,23,073,30,15,15,5,0,15,20,5,0,0,0,0,0,0
10000291,10000291,K00156,1,130,13,054,5,11,18,23,16,8,5,8,5,1,0,0,0,0
10000291,10000291,K00157,1,115,14,,1,2,12,27,18,15,11,8,5,1,0,0,0,0
10000291,10000291,K00158,1,25,14,,0,0,15,15,20,25,5,15,10,0,0,0,0,0
10000291,10000291,K00160,1,25,14,,0,5,40,20,25,10,0,0,0,5,0,0,0,0
10000291,10000291,K00161,1,25,13,012,10,10,45,15,15,10,0,0,0,0,0,0,0,0
10000291,10000291,K00162,1,15,13,048,0,5,0,25,5,25,5,15,20,0,0,0,0,0
10000291,10000291,K00163,1,65,13,013,8,11,21,19,22,10,3,2,5,0,0,0,0,0
10000291,10000291,K00166,1,10,24,,40,30,10,20,0,0,0,0,0,0,0,0,0,0
10000291,10000291,K00167,1,45,13,058,5,5,20,10,5,10,15,10,20,0,0,0,0,0
10000291,10000291,K00169,1,15,23,005,5,5,20,25,0,5,5,25,0,0,0,5,0,0
10000291,10000291,K00170,1,50,14,,0,5,10,35,20,15,0,5,5,0,5,0,0,0
10000291,10000291,K00173,1,15,24,,0,5,20,10,25,20,10,5,0,5,0,0,0,0
10000291,10000291,K00174,1,20,24,,35,10,25,0,5,10,0,10,0,0,0,0,0,0
10000291,10000291,K00176,1,40,14,,0,0,20,35,15,15,5,5,0,0,0,0,0,0
10000291,10000291,K00177,1,20,11,B,20,15,30,0,15,5,0,0,15,0,0,0,0,0
10000291,10000291,K00179,1,35,14,,0,5,15,20,25,20,5,5,5,0,0,0,5,5
10000291,10000291,K00182,1,120,13,060,6,11,18,17,18,12,7,7,3,1,0,0,0,0
10000291,10000291,K00185,1,25,13,012,10,10,45,15,15,10,0,0,0,0,0,0,0,0
10000291,10000291,K00188,1,35,14,,5,0,10,15,25,20,15,5,5,0,5,0,0,0
10000291,10000291,K00189,1,30,14,,0,0,0,5,30,10,15,10,30,5,0,0,0,0
10000291,10000291,K00190,1,15,14,,0,5,30,20,30,15,0,0,0,0,0,0,0,0
10000291,10000291,K00191,1,30,14,,0,5,15,20,30,15,5,5,10,0,0,0,0,0
10000291,10000291,K00192,1,30,14,,15,20,25,15,15,5,5,0,0,0,0,0,0,0
10000291,10000291,K00193,1,30,14,,5,0,5,30,5,5,5,10,20,5,5,0,0,0
10000291,10000291,K00194,1,75,13,018,4,0,12,24,12,12,11,11,12,1,1,0,0,0
10000291,10000291,K00195,1,40,14,,0,0,15,20,15,20,5,10,10,0,0,0,0,0
10000291,10000291,K00196,1,75,13,018,4,0,12,24,12,12,11,11,12,1,1,0,0,0
10000291,10000291,K00199,1,110,12,04,2,6,12,15,19,23,13,6,3,0,0,1,0,0
10000291,10000291,K00200,1,25,14,,5,0,0,10,15,10,15,15,15,0,10,0,0,10
10000291,10000291,K00201,1,30,14,,0,0,0,50,5,10,0,10,20,5,0,0,0,0
10000291,10000291,K00202,1,50,14,,10,35,30,15,0,5,0,5,0,0,0,0,0,0
10000291,10000291,K00242,1,80,13,066,6,10,28,22,15,12,2,4,0,0,0,0,0,0
10000291,10000291,K00246,1,35,14,,30,35,20,5,10,0,0,0,0,0,0,0,0,0
10000291,10000291,K00247,1,15,24,,25,0,20,5,15,15,5,15,0,0,0,0,0,0
10000291,10000291,K00249,1,20,14,,10,45,40,5,0,0,0,0,0,0,0,0,0,0
10000291,10000291,K00256,1,130,13,054,5,11,18,23,16,8,5,8,5,1,0,0,0,0
10000291,10000291,K00258,1,15,24,,35,15,15,5,20,5,0,0,0,0,0,0,0,0
10000291,10000291,K00259,1,130,13,054,5,11,18,23,16,8,5,8,5,1,0,0,0,0
10000291,10000291,K00260,1,25,24,,10,0,25,5,30,5,15,5,5,0,0,0,0,0
10000291,10000291,K00264,1,15,23,005,5,5,20,25,0,5,5,25,0,0,0,5,0,0
10000291,10000291,K00265,1,15,12,09,25,15,10,10,10,0,25,10,10,0,0,0,0,0
10000291,10000291,K00266,1,10,23,024,0,20,0,0,20,0,0,20,40,0,0,0,0,0
10000291,10000291,K00267,1,10,14,,20,20,10,10,10,0,20,10,10,0,0,0,0,0
10000291,10000291,K00268,1,10,14,,10,10,10,0,10,20,0,30,10,0,0,0,0,0
10000291,10000291,K00290,1,10,14,,10,25,25,0,15,10,0,0,15,0,0,0,0,0
10000291,10000291,K00291,1,15,13,065,0,15,5,45,5,5,5,15,5,0,0,0,0,0
10000291,10000291,K00292,1,15,14,,5,0,10,20,20,5,0,10,25,5,0,0,0,0
10000291,10000291,K00293,1,120,13,027,7,20,19,20,6,6,4,7,7,1,2,0,0,2
10000291,10000291,K00295,1,20,14,,0,0,15,5,15,15,15,25,0,5,5,0,0,0
10000291,10000291,K00297,1,15,13,065,0,15,5,45,5,5,5,15,5,0,0,0,0,0
10000291,10000291,K00298,1,15,14,,0,25,25,25,0,10,15,0,0,10,0,0,0,0
10000291,10000291,K00299,1,10,24,,20,10,50,10,10,0,0,0,0,0,0,0,0,0
