PUBUKPRN,UKPRN,KISCOURSEID,KISMODE,SBJ
10000571,10000571,MOD-DAAEN,1,075
10000571,10000571,MOD-DAAEN,1,099
10000571,10000571,MOD-DAAFI,1,069
10000571,10000571,MOD-DAAFI,1,099
10000571,10000571,MOD-DAAGE,1,031
10000571,10000571,MOD-DAAGE,1,099
10000571,10000571,MOD-DAAHY,1,090
10000571,10000571,MOD-DAAHY,1,099
10000571,10000571,MOD-DAAMC,1,099
10000571,10000571,MOD-DAAMC,1,069
10000571,10000571,MOD-DAAPE,1,099
10000571,10000571,MOD-DAAPE,1,35
10000571,10000571,MOD-DAAPS,1,099
10000571,10000571,MOD-DAAPS,1,019
10000571,10000571,MOD-DAASR,1,35
10000571,10000571,MOD-DAASR,1,099
10000571,10000571,MOD-DSAED,1,098
10000571,10000571,MOD-DSAED,1,105
10000571,10000571,MOD-DSAEN,1,075
10000571,10000571,MOD-DSAEN,1,098
10000571,10000571,MOD-DSAFI,1,069
10000571,10000571,MOD-DSAFI,1,098
10000571,10000571,MOD-DSAGE,1,031
10000571,10000571,MOD-DSAGE,1,098
10000571,10000571,MOD-DSAHY,1,098
10000571,10000571,MOD-DSAHY,1,090
10000571,10000571,MOD-DSAMC,1,098
10000571,10000571,MOD-DSAMC,1,069
10000571,10000571,MOD-DSAPE,1,098
10000571,10000571,MOD-DSAPE,1,35
10000571,10000571,MOD-DSAPS,1,019
10000571,10000571,MOD-DSAPS,1,098
10000571,10000571,MOD-DSASC,1,098
10000571,10000571,MOD-DSASC,1,054
10000571,10000571,MOD-DSASR,1,098
10000571,10000571,MOD-DSASR,1,35
10000571,10000571,MOD-EDAEN,1,075
10000571,10000571,MOD-EDAEN,1,105
10000571,10000571,MOD-EDAFI,1,069
10000571,10000571,MOD-EDAFI,1,105
10000571,10000571,MOD-EDAGE,1,031
10000571,10000571,MOD-EDAGE,1,105
10000571,10000571,MOD-EDAHY,1,090
10000571,10000571,MOD-EDAHY,1,105
10000571,10000571,MOD-EDAMC,1,069
10000571,10000571,MOD-EDAMC,1,105
10000571,10000571,MOD-EDAMU,1,097
10000571,10000571,MOD-EDAMU,1,105
10000571,10000571,MOD-EDAPE,1,105
10000571,10000571,MOD-EDAPE,1,35
10000571,10000571,MOD-EDAPS,1,019
10000571,10000571,MOD-EDAPS,1,105
10000571,10000571,MOD-EDASC,1,054
10000571,10000571,MOD-EDASC,1,105
10000571,10000571,MOD-EDASR,1,105
10000571,10000571,MOD-EDASR,1,35
10000571,10000571,MOD-ENAFI,1,075
10000571,10000571,MOD-ENAFI,1,069
10000571,10000571,MOD-ENAGE,1,075
10000571,10000571,MOD-ENAGE,1,031
10000571,10000571,MOD-ENAHAD,1,102
10000571,10000571,MOD-ENAHAD,1,075
10000571,10000571,MOD-ENAHE,1,075
10000571,10000571,MOD-ENAHE,1,34
10000571,10000571,MOD-ENAHY,1,075
10000571,10000571,MOD-ENAHY,1,090
10000571,10000571,MOD-ENAMC,1,069
10000571,10000571,MOD-ENAMC,1,075
10000571,10000571,MOD-ENAMU,1,075
10000571,10000571,MOD-ENAMU,1,097
10000571,10000571,MOD-ENAPE,1,075
10000571,10000571,MOD-ENAPE,1,35
10000571,10000571,MOD-ENAPS,1,075
10000571,10000571,MOD-ENAPS,1,019
10000571,10000571,MOD-ENAPU,1,29
10000571,10000571,MOD-ENAPU,1,075
