PUBUKPRN,UKPRN,KISCOURSEID,KISMODE,CONTPOP,CONTAGG,CONTSBJ,UCONT,UDORMANT,UGAINED,ULEFT,ULOWER
10000291,10000291,K00278,2,10,24,,100,0,0,0,0
10000291,10000291,K00283,2,50,14,,90,0,0,0,5
10000291,10000291,K00286,2,10,13,035,55,20,10,0,20
10000291,10000291,K00289,2,30,14,,90,0,0,5,5
10000291,10000291,K00290,1,20,13,064,75,5,5,0,15
10000291,10000291,K00291,1,15,13,065,20,0,35,5,40
10000291,10000291,K00292,1,15,23,063,90,10,0,0,0
10000291,10000291,K00293,1,130,13,027,68,8,1,3,19
10000291,10000291,K00295,1,50,14,,95,5,0,0,0
10000291,10000291,K00297,1,15,13,065,20,0,35,5,40
10000291,10000291,K00298,1,15,23,063,90,10,0,0,0
10000291,10000291,K00299,1,135,13,008,89,4,0,2,5
10000291,10000291,K00300,1,780,13,005,70,7,17,1,5
10000291,10000291,K00306,1,515,13,061,62,5,14,9,10
10000291,10000291,K00308,1,30,14,,85,15,0,0,0
10000291,10000291,K00309,1,15,13,021,85,0,0,5,5
10000291,10000291,K00310,1,35,14,,60,5,5,10,20
10000291,10000291,K00311,2,10,14,,100,0,0,0,0
10000291,10000291,K00312,1,15,14,,80,5,0,0,10
10000291,10000291,K00314,1,15,23,063,90,10,0,0,0
10000291,10000291,K00316,1,15,13,065,20,0,35,5,40
10000291,10000291,K00318,2,30,11,D,65,15,5,5,10
10000291,10000291,K00320,1,50,13,012,70,0,5,10,15
10000291,10000291,K00322,2,15,24,,80,0,0,15,5
10000291,10000291,K00323,1,930,11,2,73,6,14,1,5
10000291,10000291,K00324,1,930,11,2,73,6,14,1,5
10000291,10000291,K00325,2,10,14,,80,20,0,0,0
10000291,10000291,K00326,1,150,12,04,89,4,0,2,5
10000291,10000291,K00327,1,150,12,04,89,4,0,2,5
10000291,10000291,K00328,1,75,13,098,84,7,0,6,3
10000291,10000291,K00329,1,930,11,2,73,6,14,1,5
10000291,10000291,K00330,1,930,11,2,73,6,14,1,5
10000291,10000291,K00331,1,495,11,B,72,6,7,6,9
10000291,10000291,K00332,2,160,13,061,16,8,66,4,6
10000291,10000291,K00333,2,15,23,041,80,0,5,5,5
10000291,10000291,K00334,2,25,24,,90,0,0,5,10
10000291,10000291,K00335,2,15,14,,85,10,0,10,0
10000291,10000291,K00338,2,15,14,,75,10,0,15,0
10000291,10000291,K00341,2,20,11,B,85,0,0,5,10
10000291,10000291,K00342,2,20,11,B,85,0,0,5,10
10000291,10000291,K00345,2,40,13,103,30,0,65,0,0
10000291,10000291,K00346,2,40,11,I,30,0,65,0,0
10000291,10000291,K00347,2,20,11,B,85,0,0,5,10
10000291,10000291,K00352,2,30,11,D,65,15,5,5,10
10000291,10000291,K00357,2,30,11,D,65,15,5,5,10
10000291,10000291,K00358,2,30,11,D,65,15,5,5,10
10000291,10000291,K00359,2,30,13,061,65,15,5,5,10
10000291,10000291,K00360,2,30,13,061,65,15,5,5,10
10000291,10000291,K00361,2,30,13,061,65,15,5,5,10
10000291,10000291,K00362,2,30,11,D,65,15,5,5,10
10000291,10000291,K00364,2,15,23,035,5,40,55,0,0
10000291,10000291,K00442,1,15,24,,55,20,0,5,20
10000385,10000385,BAACT,1,50,14,,100,0,0,0,0
10000385,10000385,BAAEP,1,30,14,,95,0,0,5,0
10000385,10000385,BAANP,1,75,14,,88,4,1,4,3
10000385,10000385,BAARC,1,45,14,,85,10,0,0,0
10000385,10000385,BACPH,1,60,14,,83,5,0,10,2
10000385,10000385,BACRW,1,265,12,38,90,3,0,4,3
10000385,10000385,BACSS,1,95,14,,93,1,0,5,1
