PUBUKPRN,UKPRN,KISCOURSEID,KISMODE,EMPPOP,EMPRESP_RATE,EMPAGG,EMPSBJ,WORKSTUDY,STUDY,ASSUNEMP,BOTH,NOAVAIL,WORK
10000291,10000291,K00188,1,65,85,14,,82,26,12,3,6,53
10000291,10000291,K00189,1,15,75,24,,85,5,5,5,5,75
10000291,10000291,K00190,1,10,80,14,,85,10,10,10,10,65
10000291,10000291,K00191,1,20,80,14,,95,10,5,5,0,80
10000291,10000291,K00192,1,25,80,13,013,90,10,10,5,0,75
10000291,10000291,K00193,1,25,90,14,,95,30,0,10,5,60
10000291,10000291,K00194,1,70,88,13,018,93,23,6,7,1,63
10000291,10000291,K00195,1,35,90,14,,90,25,10,5,0,60
10000291,10000291,K00196,1,70,88,13,018,93,23,6,7,1,63
10000291,10000291,K00199,1,105,92,12,04,95,17,4,7,1,72
10000291,10000291,K00200,1,15,85,14,,85,0,5,5,5,80
10000291,10000291,K00201,1,15,80,14,,80,20,15,0,5,65
10000291,10000291,K00202,1,45,80,13,027,85,10,10,0,5,70
10000291,10000291,K00242,1,15,75,24,,70,0,30,0,0,70
10000291,10000291,K00246,1,110,84,13,035,83,5,16,2,1,76
10000291,10000291,K00247,1,10,65,14,,100,0,0,10,0,90
10000291,10000291,K00249,1,45,80,13,027,85,10,10,0,5,70
10000291,10000291,K00256,1,15,75,14,,90,15,5,0,5,75
10000291,10000291,K00258,1,20,90,13,054,100,75,0,20,0,5
10000291,10000291,K00259,1,130,80,13,054,88,9,8,7,4,72
10000291,10000291,K00260,1,15,75,24,,100,0,0,5,0,95
10000291,10000291,K00264,1,130,83,23,005,96,2,4,2,0,92
10000291,10000291,K00266,1,40,70,22,09,80,5,10,5,10,75
10000291,10000291,K00268,1,35,75,23,021,80,5,10,5,10,75
10000291,10000291,K00277,2,15,70,24,,95,0,5,0,0,95
10000291,10000291,K00278,2,20,75,23,041,95,0,5,0,0,95
10000291,10000291,K00283,2,40,80,14,,95,0,0,0,5,95
10000291,10000291,K00286,2,20,90,23,035,85,15,5,5,10,65
10000291,10000291,K00289,2,30,80,14,,100,0,0,5,0,95
10000291,10000291,K00290,1,15,75,13,064,90,15,10,0,0,75
10000291,10000291,K00291,1,60,77,12,27,75,8,20,7,5,60
10000291,10000291,K00292,1,15,75,12,26,90,15,10,0,0,75
10000291,10000291,K00293,1,45,80,13,027,85,10,10,0,5,70
10000291,10000291,K00295,1,150,76,21,I,91,30,5,5,3,56
10000291,10000291,K00297,1,60,77,12,27,75,8,20,7,5,60
10000291,10000291,K00298,1,15,75,12,26,90,15,10,0,0,75
10000291,10000291,K00299,1,90,95,13,008,95,19,3,7,1,69
10000291,10000291,K00300,1,200,82,13,005,94,1,3,1,3,93
10000291,10000291,K00306,1,215,76,13,061,82,12,14,5,4,66
10000291,10000291,K00308,1,130,83,23,005,96,2,4,2,0,92
10000291,10000291,K00309,1,35,75,23,021,80,5,10,5,10,75
10000291,10000291,K00310,1,215,76,13,061,82,12,14,5,4,66
10000291,10000291,K00311,2,15,95,11,9,95,0,0,5,5,85
10000291,10000291,K00312,1,15,80,14,,95,0,5,5,0,85
10000291,10000291,K00314,1,15,75,12,26,90,15,10,0,0,75
10000291,10000291,K00316,1,60,77,12,27,75,8,20,7,5,60
10000291,10000291,K00318,2,20,75,11,D,95,0,0,0,5,95
10000291,10000291,K00320,1,25,75,13,012,85,5,10,10,10,70
10000291,10000291,K00322,2,15,95,14,,100,0,0,15,0,85
10000291,10000291,K00323,1,300,85,11,2,95,6,3,3,2,86
10000291,10000291,K00324,1,300,85,11,2,95,6,3,3,2,86
10000291,10000291,K00325,2,40,80,23,103,100,0,0,15,0,85
10000291,10000291,K00326,1,105,92,12,04,95,17,4,7,1,72
10000291,10000291,K00327,1,105,92,12,04,95,17,4,7,1,72
10000291,10000291,K00328,1,45,65,13,098,90,15,5,0,5,75
10000291,10000291,K00329,1,300,85,11,2,95,6,3,3,2,86
10000291,10000291,K00330,1,300,85,11,2,95,6,3,3,2,86
10000291,10000291,K00331,1,220,76,11,B,88,7,9,5,3,77
10000291,10000291,K00332,2,35,65,13,061,95,5,0,20,5,75
10000291,10000291,K00334,2,15,90,14,,95,0,5,5,0,90
10000291,10000291,K00338,2,10,75,24,,80,0,20,10,0,70
10000291,10000291,K00341,2,30,85,11,B,95,0,5,5,0,90
10000291,10000291,K00342,2,30,85,11,B,95,0,5,5,0,90
10000291,10000291,K00345,2,45,90,23,103,95,5,0,0,0,90
10000291,10000291,K00346,2,50,90,21,I,95,5,0,0,0,90
10000291,10000291,K00347,2,30,85,11,B,95,0,5,5,0,90
10000291,10000291,K00352,2,20,75,11,D,95,0,0,0,5,95
10000291,10000291,K00357,2,20,75,11,D,95,0,0,0,5,95
10000291,10000291,K00358,2,20,75,11,D,95,0,0,0,5,95
10000291,10000291,K00359,2,15,70,13,061,95,0,0,0,5,95
10000291,10000291,K00360,2,15,70,13,061,95,0,0,0,5,95
10000291,10000291,K00361,2,15,70,13,061,95,0,0,0,5,95
10000291,10000291,K00362,2,20,75,11,D,95,0,0,0,5,95
10000291,10000291,K00442,1,105,81,13,075,80,11,12,12,8,57
10000385,10000385,BAACT,1,45,85,14,,90,0,5,5,5,85
10000385,10000385,BAAEP,1,25,95,14,,90,0,0,0,10,90
10000385,10000385,BAANP,1,40,90,14,,85,10,10,5,5,75
10000385,10000385,BAARC,1,25,80,14,,95,10,5,5,5,75
10000385,10000385,BACPH,1,45,90,14,,95,5,0,0,5,90
10000385,10000385,BACRW,1,180,88,12,38,88,4,7,2,5,82
10000385,10000385,BACSS,1,75,100,14,,91,0,0,0,9,91
10000385,10000385,BADAN,1,155,95,12,37,92,1,2,2,6,90
10000385,10000385,BAFAR,1,30,80,14,,80,10,5,5,15,70
10000385,10000385,BAFCO,1,260,90,13,096,89,4,4,0,7,85
10000385,10000385,BAFLP,1,60,84,14,,88,2,7,2,5,85
10000385,10000385,BAFSC,1,75,84,24,,93,4,5,0,1,89
10000385,10000385,BAGDS,1,40,90,14,,80,5,10,0,15,75
10000385,10000385,BAIAD,1,25,90,14,,90,0,5,0,5,90
10000385,10000385,BAILL,1,50,85,14,,90,5,5,0,10,80
10000385,10000385,BAMDM,1,25,90,14,,90,0,5,0,10,90
10000385,10000385,BAMMP,1,35,95,14,,100,5,0,5,0,95
10000385,10000385,BAPHO,1,40,90,14,,85,0,10,5,5,80
10000385,10000385,BATXT,1,30,95,14,,85,5,5,0,15,75
10000385,10000385,BAVCO,1,30,95,14,,90,5,5,0,5,85
10000385,10000385,BAVFX,1,180,88,13,100,88,4,7,2,5,82
10000415,10000415,BSA3F,1,10,83,14,,90,0,0,0,10,90
10000415,10000415,DFACCF,1,59,87,12,09,98,46,2,14,0,38
10000415,10000415,DFALMF,1,10,86,14,,100,50,0,15,0,35
