PUBUKPRN,UKPRN,KISCOURSEID,KISMODE,LOCID
10000415,10000415,DFESCF,1,YC
10000415,10000415,DFHORF,1,YC
10000415,10000415,DFSAOF,1,YC
10000415,10000415,DFSSCF,1,YC
10000415,10000415,DFVHSF,1,YC
10000415,10000415,DFVNX,1,NC
10000415,10000415,DFVNXF,1,YC
10000473,10000473,HL5FDCOMP,1,UC
10000473,10000473,HL5FDEARL,2,UC
10000473,10000473,HL5FDPRAH,2,AC
10000528,10000528,Q130F061-15,1,RG
10000528,10000528,Q170F016,1,RG
10000528,10000528,Q170F017,1,RG
10000528,10000528,Q170F019,1,RG
10000528,10000528,Q170F224-15,1,RG
10000528,10000528,Q310F125,1,RG
10000533,10000533,1C1035,1,WS
10000533,10000533,1C1035,2,WS
10000533,10000533,2B1087,1,WS
10000533,10000533,2B1801,1,SG
10000533,10000533,2C8077,1,SG
10000533,10000533,2D2055,1,WS
10000533,10000533,2D2055,2,WS
10000533,10000533,2D3202,1,SG
10000534,10000534,ARTDEHNC,2,NB
10000534,10000534,BEAUTFD,1,NB
10000534,10000534,BUSINHNC,1,NB
10000534,10000534,CHILDFD,1,NB
10000534,10000534,HEALTHHND,1,NB
10000534,10000534,MUSICHNC,1,NB
10000534,10000534,MUSICHND,1,NB
10000534,10000534,NETWKFD,1,NB
10000534,10000534,PUBLCHNC,2,NB
10000534,10000534,PUBLCHND,2,NB
10000534,10000534,SOFTWFD,1,NB
10000534,10000534,SPORTHNC,1,NB
10000534,10000534,SPORTHND,1,NB
10000536,10000536,AT19CBSCFT,1,UC
10000536,10000536,AT19CBSCPT,2,UC
10000536,10000536,AT29EHND,1,UC
10000536,10000536,AT29MHND,1,UC
10000536,10000536,AT39BHND,1,UC
10000536,10000536,AT39CHND,1,UC
10000536,10000536,AT39THND,1,UC
10000536,10000536,AT49AMHD,1,WF
10000536,10000536,CA29HHND,1,UC
10000536,10000536,CA49AHNDFT,1,UC
10000536,10000536,CA49BAMT,1,UC
10000536,10000536,CA49BAPM,1,UC
10000536,10000536,CA49FDTT,1,UC
10000536,10000536,CA49GHNDFT,1,UC
10000536,10000536,PS29EYBAFT,1,UC
10000536,10000536,PS29EYBAPT,2,UC
10000536,10000536,PS29FDLSFT,1,UC
10000536,10000536,PS29FDLSPT,2,UC
10000536,10000536,PS39PHND,1,UC
10000536,10000536,PS39SHND,1,UC
10000536,10000536,PS69PPHS,1,UC
10000560,10000560,CF07,1,BC
10000560,10000560,EF42,1,BC
10000560,10000560,EF43,1,BC
10000560,10000560,JF14,1,BC
10000560,10000560,PH04,1,BC
10000571,10000571,BA-3DIMO,1,SH
10000571,10000571,BA-ACT,1,NP
10000571,10000571,BA-BM,1,NP
10000571,10000571,BA-BM-SW,1,NP
10000571,10000571,BA-BMACC,1,NP
10000571,10000571,BA-BMACC-SW,1,NP
10000571,10000571,BA-BMENP,1,NP
10000571,10000571,BA-BMENP-SW,1,NP
10000571,10000571,BA-BMFAE,1,NP
10000571,10000571,BA-BMFAE-SW,1,NP
10000571,10000571,BA-BMHRM,1,NP
10000571,10000571,BA-BMHRM-SW,1,NP
10000571,10000571,BA-BMINT,1,NP
10000571,10000571,BA-BMINT-SW,1,NP
10000571,10000571,BA-BMLAW,1,NP
10000571,10000571,BA-BMLAW-SW,1,NP
10000571,10000571,BA-BMM,1,NP
10000571,10000571,BA-BMM-SW,1,NP
10000571,10000571,BA-BMTM,1,NP
10000571,10000571,BA-BMTM-SW,1,NP
10000571,10000571,BA-CAARACE,1,SH
10000571,10000571,BA-CAARACW,1,NP
10000571,10000571,BA-CAARADA,1,NP
10000571,10000571,BA-CAARADS,1,NP
10000571,10000571,BA-CAARAMU,1,NP
10000571,10000571,BA-CAARATD,1,SH
10000571,10000571,BA-CAARAVD,1,SH
10000571,10000571,BA-CACEACW,1,NP
10000571,10000571,BA-CACEADA,1,NP
10000571,10000571,BA-CACEADS,1,NP
10000571,10000571,BA-CACEAMU,1,NP
10000571,10000571,BA-CACEATD,1,SH
10000571,10000571,BA-CACEAVD,1,SH
10000571,10000571,BA-CACWADA,1,NP
10000571,10000571,BA-CACWADS,1,NP
10000571,10000571,BA-CACWAMU,1,NP
10000571,10000571,BA-CACWATD,1,NP
10000571,10000571,BA-CACWAVD,1,NP
10000571,10000571,BA-CADAADS,1,NP
10000571,10000571,BA-CADAAMU,1,NP
10000571,10000571,BA-CADAATD,1,NP
10000571,10000571,BA-CADAAVD,1,NP
10000571,10000571,BA-CADSAMU,1,NP
10000571,10000571,BA-CADSATD,1,NP
10000571,10000571,BA-CADSAVD,1,NP
10000571,10000571,BA-CAMUATD,1,NP
10000571,10000571,BA-CAMUAVD,1,NP
10000571,10000571,BA-CAP,1,NP
10000571,10000571,BA-CATDAVD,1,NP
10000571,10000571,BA-CM,1,NP
10000571,10000571,BA-CMP,1,NP
10000571,10000571,BA-CW,1,NP
10000571,10000571,BA-DA,1,NP
10000571,10000571,BA-DS,1,NP
10000571,10000571,BA-EDAAR,1,NP
10000571,10000571,BA-EDABM,1,NP
10000571,10000571,BA-EDACW,1,NP
10000571,10000571,BA-EDADA,1,NP
10000571,10000571,BA-EDADS,1,NP
10000571,10000571,BA-EDAEN,1,NP
10000571,10000571,BA-EDAHY,1,NP
10000571,10000571,BA-EDAMC,1,NP
10000571,10000571,BA-EDASR,1,NP
10000571,10000571,BA-EDATD,1,NP
10000571,10000571,BA-EDSECAAR,1,NP
10000571,10000571,BA-EDSECABI,1,NP
10000571,10000571,BA-EDSECADS,1,NP
10000571,10000571,BA-EDSECAEN,1,NP
10000571,10000571,BA-EDSECAMU,1,NP
10000571,10000571,BA-EDSECASR,1,NP
10000571,10000571,BA-EDSIN,1,NP
10000571,10000571,BA-EN,1,NP
10000571,10000571,BA-ES,1,NP
10000571,10000571,BA-EY,1,NP
10000571,10000571,BA-EYSIN,1,NP
10000571,10000571,BA-FD,1,CI
10000571,10000571,BA-FINEART,1,SH
10000571,10000571,BA-FSS,1,NP
10000571,10000571,BA-FTD,1,SH
10000571,10000571,BA-FTV,1,NP
10000571,10000571,BA-GEHU,1,NP
10000571,10000571,BA-GRAPHCOM,1,SH
10000571,10000571,BA-HAD,1,NP
10000571,10000571,BA-HY,1,NP
10000571,10000571,BA-IE,1,NP
10000571,10000571,BA-IEDSIN,1,NP
10000571,10000571,BA-MC,1,NP
10000571,10000571,BA-MT,1,NP
10000571,10000571,BA-MUS,1,NP
10000571,10000571,BA-PH,1,SH
10000571,10000571,BA-RPE,1,NP
10000571,10000571,BA-TP,1,NP
10000571,10000571,BA-YC,1,NP
10000571,10000571,BAMA-CM,1,NP
10000571,10000571,BAMA-TDFI,1,SH
10000571,10000571,BS-BI,1,NP
10000571,10000571,BS-BI-SW,1,NP
10000571,10000571,BS-BICB,1,NP
10000571,10000571,BS-BICB-SW,1,NP
10000571,10000571,BS-BIHB,1,NP
10000571,10000571,BS-BIHB-SW,1,NP
10000571,10000571,BS-CCAN,1,NP
10000571,10000571,BS-CCGM,1,NP
10000571,10000571,BS-CCSD,1,NP
