PUBUKPRN,UKPRN,KISCOURSEID,KISMODE,JOBPOP,JOBRESP_RATE,JOBAGG,JOBSBJ,PROFMAN,OTHERJOB,UNKWN
10000291,10000291,K00268,1,25,75,23,021,35,65,0
10000291,10000291,K00277,2,15,70,24,,100,0,0
10000291,10000291,K00278,2,20,75,23,041,100,0,0
10000291,10000291,K00283,2,35,80,14,,100,0,0
10000291,10000291,K00286,2,15,85,23,035,75,25,0
10000291,10000291,K00289,2,30,80,14,,95,5,0
10000291,10000291,K00290,1,10,75,13,064,60,40,0
10000291,10000291,K00291,1,40,75,12,27,50,50,0
10000291,10000291,K00292,1,10,75,12,26,60,40,0
10000291,10000291,K00293,1,30,80,13,027,55,45,0
10000291,10000291,K00295,1,85,76,21,I,23,77,0
10000291,10000291,K00297,1,40,75,12,27,50,50,0
10000291,10000291,K00298,1,10,75,12,26,60,40,0
10000291,10000291,K00299,1,65,95,13,008,98,2,0
10000291,10000291,K00300,1,185,82,13,005,97,3,0
10000291,10000291,K00306,1,145,76,13,061,64,36,0
10000291,10000291,K00308,1,120,82,23,005,97,2,1
10000291,10000291,K00309,1,25,75,23,021,35,65,0
10000291,10000291,K00310,1,145,76,13,061,64,36,0
10000291,10000291,K00311,2,15,95,11,9,85,15,0
10000291,10000291,K00312,1,15,80,14,,100,0,0
10000291,10000291,K00314,1,10,75,12,26,60,40,0
10000291,10000291,K00316,1,40,75,12,27,50,50,0
10000291,10000291,K00318,2,20,75,11,D,75,25,0
10000291,10000291,K00320,1,20,75,13,012,30,70,0
10000291,10000291,K00322,2,15,95,14,,100,0,0
10000291,10000291,K00323,1,260,85,11,2,98,2,0
10000291,10000291,K00324,1,260,85,11,2,98,2,0
10000291,10000291,K00325,2,35,80,23,103,100,0,0
10000291,10000291,K00326,1,80,92,12,04,99,1,0
10000291,10000291,K00327,1,80,92,12,04,99,1,0
10000291,10000291,K00328,1,35,65,13,098,30,70,0
10000291,10000291,K00329,1,260,85,11,2,98,2,0
10000291,10000291,K00330,1,260,85,11,2,98,2,0
