PUBUKPRN,UKPRN,KISCOURSEID,KISMODE,DEGPOP,DEGAGG,DEGSBJ,UFIRST,UUPPER,ULOWER,UOTHER,UORDINARY,UDISTINCTION,UMERIT,UPASS,UNA
10000291,10000291,K00162,1,25,13,048,5,65,25,10,0,0,0,0,0
10000291,10000291,K00163,1,30,13,013,15,45,35,5,0,0,0,0,0
10000291,10000291,K00166,1,15,24,,5,50,35,5,0,0,0,0,0
10000291,10000291,K00167,1,90,13,058,14,46,30,10,0,0,0,0,0
10000291,10000291,K00170,1,25,14,,20,40,40,5,0,0,0,0,0
10000291,10000291,K00173,1,20,14,,40,40,15,5,0,0,0,0,0
10000291,10000291,K00174,1,20,14,,30,35,25,5,0,0,0,0,0
10000291,10000291,K00176,1,30,14,,30,50,20,5,0,0,0,0,0
10000291,10000291,K00179,1,20,14,,30,40,20,10,0,0,0,0,0
10000291,10000291,K00182,1,145,13,060,15,44,33,7,0,0,0,0,0
10000291,10000291,K00185,1,35,13,012,15,35,30,20,0,0,0,0,0
10000291,10000291,K00188,1,90,14,,20,50,25,5,0,0,0,0,0
10000291,10000291,K00189,1,20,24,,15,40,35,5,0,0,0,0,0
10000291,10000291,K00190,1,15,14,,15,45,35,5,0,0,0,0,0
10000291,10000291,K00191,1,30,14,,20,50,30,5,0,0,0,0,0
10000291,10000291,K00192,1,30,13,013,15,45,35,5,0,0,0,0,0
10000291,10000291,K00193,1,25,14,,25,25,25,20,0,0,0,0,0
10000291,10000291,K00194,1,85,13,018,13,36,31,19,0,0,0,0,0
10000291,10000291,K00195,1,40,14,,5,40,40,20,0,0,0,0,0
10000291,10000291,K00196,1,85,13,018,13,36,31,19,0,0,0,0,0
10000291,10000291,K00199,1,115,12,04,22,41,33,3,0,0,0,0,0
10000291,10000291,K00200,1,20,14,,15,50,20,15,0,0,0,0,0
10000291,10000291,K00201,1,20,14,,40,30,15,15,0,0,0,0,0
10000291,10000291,K00202,1,55,13,027,28,42,19,11,0,0,0,0,0
10000291,10000291,K00242,1,15,14,,20,20,40,20,0,0,0,0,0
10000291,10000291,K00246,1,140,13,035,28,38,28,7,0,0,0,0,0
10000291,10000291,K00247,1,15,14,,15,25,55,10,0,0,0,0,0
10000291,10000291,K00249,1,55,13,027,28,42,19,11,0,0,0,0,0
10000291,10000291,K00256,1,20,14,,10,60,20,10,0,0,0,0,0
10000291,10000291,K00259,1,165,13,054,18,54,25,3,0,0,0,0,0
10000291,10000291,K00260,1,10,14,,10,45,20,25,0,0,0,0,0
10000291,10000291,K00266,1,10,12,09,15,35,35,15,0,0,0,0,0
10000291,10000291,K00268,1,45,23,021,15,35,45,5,0,0,0,0,0
10000291,10000291,K00277,2,20,24,,30,50,10,10,0,0,0,0,0
10000291,10000291,K00278,2,10,13,041,50,40,0,10,0,0,0,0,0
10000291,10000291,K00283,2,50,14,,50,45,0,0,0,0,0,0,0
10000291,10000291,K00286,2,10,13,035,60,0,20,20,0,0,0,0,0
10000291,10000291,K00289,2,35,14,,30,55,15,0,0,0,0,0,0
10000291,10000291,K00290,1,20,13,064,25,30,25,20,0,0,0,0,0
10000291,10000291,K00291,1,10,13,065,10,40,25,25,0,0,0,0,0
10000291,10000291,K00292,1,20,12,26,25,30,25,20,0,0,0,0,0
10000291,10000291,K00293,1,10,24,,20,50,30,0,0,0,0,0,0
10000291,10000291,K00295,1,190,21,I,16,55,24,4,0,0,0,0,0
10000291,10000291,K00297,1,10,13,065,10,40,25,25,0,0,0,0,0
10000291,10000291,K00298,1,20,12,26,25,30,25,20,0,0,0,0,0
10000291,10000291,K00299,1,105,13,008,22,41,34,3,0,0,0,0,0
10000291,10000291,K00300,1,290,13,005,31,38,21,11,0,0,0,0,0
10000291,10000291,K00306,1,380,13,061,30,30,28,13,0,0,0,0,0
10000291,10000291,K00309,1,45,23,021,15,35,45,5,0,0,0,0,0
10000291,10000291,K00310,1,15,24,,0,35,40,25,0,0,0,0,0
10000291,10000291,K00311,2,15,11,9,50,40,0,15,0,0,0,0,0
10000291,10000291,K00312,1,15,14,,20,45,30,5,0,0,0,0,0
10000291,10000291,K00314,1,20,12,26,25,30,25,20,0,0,0,0,0
10000291,10000291,K00316,1,10,13,065,10,40,25,25,0,0,0,0,0
10000291,10000291,K00318,2,35,11,D,25,25,35,10,0,0,0,0,0
10000291,10000291,K00320,1,35,13,012,15,35,30,20,0,0,0,0,0
10000291,10000291,K00322,2,15,14,,75,25,0,0,0,0,0,0,0
10000291,10000291,K00323,1,410,11,2,28,39,24,9,0,0,0,0,0
10000291,10000291,K00324,1,410,11,2,28,39,24,9,0,0,0,0,0
10000291,10000291,K00326,1,115,12,04,22,41,33,3,0,0,0,0,0
10000291,10000291,K00327,1,115,12,04,22,41,33,3,0,0,0,0,0
