PUBUKPRN,UKPRN,KISCOURSEID,KISMODE,LOCID,UCASCOURSEID
10000571,10000571,BS-HN,1,NP,8062
10000571,10000571,BS-HN-SW,1,NP,5021
10000571,10000571,BS-PS,1,NP,8401
10000571,10000571,BS-SC,1,NP,5807
10000571,10000571,FD-CCPT,1,CM,7988
10000571,10000571,MOD-BIABM,1,NP,0106
10000571,10000571,MOD-BIACW,1,NP,0794
10000571,10000571,MOD-BIADA,1,NP,8178
10000571,10000571,MOD-BIADS,1,NP,1412
10000571,10000571,MOD-BIAED,1,NP,5011
10000571,10000571,MOD-BIAEN,1,NP,8154
10000571,10000571,MOD-BIAFI,1,NP,7575
10000571,10000571,MOD-BIAGE,1,NP,8559
10000571,10000571,MOD-BIAHY,1,NP,5658
10000571,10000571,MOD-BIAMC,1,NP,8291
10000571,10000571,MOD-BIAMU,1,NP,6930
10000571,10000571,MOD-BIAPE,1,NP,3252
10000571,10000571,MOD-BIAPS,1,NP,6666
10000571,10000571,MOD-BIASC,1,NP,2484
10000571,10000571,MOD-BIASR,1,NP,3828
10000571,10000571,MOD-BMACC,1,NP,6290
10000571,10000571,MOD-BMACW,1,NP,8717
10000571,10000571,MOD-BMADA,1,NP,8291
10000571,10000571,MOD-BMADS,1,NP,6270
10000571,10000571,MOD-BMAED,1,NP,3472
10000571,10000571,MOD-BMAFI,1,NP,4095
10000571,10000571,MOD-BMAGE,1,NP,0764
10000571,10000571,MOD-BMAHE,1,NP,0493
10000571,10000571,MOD-BMAHY,1,NP,1484
10000571,10000571,MOD-BMAMC,1,NP,2216
10000571,10000571,MOD-BMAMU,1,NP,0445
10000571,10000571,MOD-BMAPE,1,NP,6491
10000571,10000571,MOD-BMAPS,1,NP,0089
10000571,10000571,MOD-BMAPU,1,NP,8262
10000571,10000571,MOD-BMASC,1,NP,7145
10000571,10000571,MOD-BMASR,1,NP,3459
10000571,10000571,MOD-CAPACC,1,NP,6943
10000571,10000571,MOD-CCACW,1,NP,5529
10000571,10000571,MOD-CCAEN,1,NP,8145
10000571,10000571,MOD-CCAFI,1,NP,9224
10000571,10000571,MOD-CCAHAD,1,NP,4247
10000571,10000571,MOD-CCAHE,1,NP,4637
10000571,10000571,MOD-CCAHY,1,NP,1499
10000571,10000571,MOD-CCAMC,1,NP,1566
10000571,10000571,MOD-CCAPU,1,NP,4873
10000571,10000571,MOD-CRIAGE,1,NP,0842
10000571,10000571,MOD-CRIAMC,1,NP,5355
10000571,10000571,MOD-CRIAPS,1,NP,4260
10000571,10000571,MOD-CRIASC,1,NP,1001
10000571,10000571,MOD-CWAED,1,NP,0525
10000571,10000571,MOD-CWAEN,1,NP,8503
10000571,10000571,MOD-CWAFI,1,NP,2355
10000571,10000571,MOD-CWAGE,1,NP,4228
10000571,10000571,MOD-CWAHY,1,NP,6360
10000571,10000571,MOD-CWAMC,1,NP,1844
