PUBUKPRN,UKPRN,KISCOURSEID,KISMODE,ENTPOP,ENTAGG,ENTSBJ,ACCESS,ALEVEL,BACC,DEGREE,FOUNDTN,NOQUALS,OTHER,OTHERHE
10000533,10000533,1C1035,2,20,13,035,0,30,0,0,0,65,0,5
10000533,10000533,2D2055,1,20,13,061,0,0,0,0,0,100,0,0
10000534,10000534,BEAUTFD,1,30,13,006,0,0,0,0,0,100,0,0
10000534,10000534,BUSINHNC,1,30,13,061,0,0,0,0,0,100,0,0
10000534,10000534,MUSICHNC,1,15,13,097,0,0,0,0,0,100,0,0
10000534,10000534,MUSICHND,1,15,13,097,0,0,0,0,0,100,0,0
10000534,10000534,NETWKFD,1,45,13,035,0,0,0,0,0,100,0,0
10000534,10000534,PUBLCHNC,2,25,13,053,0,0,0,0,0,100,0,0
10000534,10000534,PUBLCHND,2,25,13,053,0,0,0,0,0,100,0,0
10000534,10000534,SOFTWFD,1,45,13,035,0,0,0,0,0,100,0,0
10000534,10000534,SPORTHNC,1,30,11,D,0,0,0,0,0,100,0,0
10000536,10000536,AT19CBSCFT,1,15,13,048,0,60,0,0,0,0,5,35
10000536,10000536,AT39BHND,1,10,13,061,0,90,0,0,0,0,0,10
10000536,10000536,AT39CHND,1,10,13,035,0,100,0,0,0,0,0,0
10000536,10000536,AT39THND,1,15,13,067,0,95,0,0,0,0,5,0
10000536,10000536,AT49AMHD,1,20,23,024,0,100,0,0,0,0,0,0
10000536,10000536,CA29HHND,1,15,13,067,0,95,0,0,0,0,5,0
10000536,10000536,CA49AHNDFT,1,15,13,095,0,85,0,0,0,10,10,0
10000536,10000536,CA49BAMT,1,25,13,097,0,75,0,0,0,5,5,15
10000536,10000536,CA49BAPM,1,25,13,097,0,75,0,0,0,5,5,15
10000536,10000536,CA49FDTT,1,20,11,H,0,80,0,0,0,5,15,0
10000536,10000536,CA49GHNDFT,1,20,23,096,0,75,0,0,0,0,25,0
10000536,10000536,PS29EYBAFT,1,30,13,105,0,95,0,0,0,0,5,0
10000536,10000536,PS29EYBAPT,2,50,23,105,0,45,0,0,0,0,5,45
10000536,10000536,PS39PHND,1,10,13,053,0,90,0,0,0,0,10,0
10000536,10000536,PS39SHND,1,30,13,018,5,85,0,0,0,10,0,5
10000536,10000536,PS69PPHS,1,35,13,011,5,70,0,0,0,5,0,20
10000571,10000571,BA-3DIMO,1,20,24,,0,80,5,5,0,0,0,10
10000571,10000571,BA-ACT,1,60,14,,0,93,0,0,0,0,0,7
10000571,10000571,BA-BM,1,145,14,,1,60,3,0,0,0,0,37
10000571,10000571,BA-BM-SW,1,185,13,061,1,65,2,0,0,0,1,32
10000571,10000571,BA-BMACC,1,25,14,,5,60,0,0,0,0,0,35
10000571,10000571,BA-BMACC-SW,1,25,13,066,5,60,0,0,0,0,0,35
10000571,10000571,BA-BMENP,1,185,13,061,1,65,2,0,0,0,1,32
10000571,10000571,BA-BMENP-SW,1,185,13,061,1,65,2,0,0,0,1,32
10000571,10000571,BA-BMFAE,1,185,13,061,1,65,2,0,0,0,1,32
10000571,10000571,BA-BMFAE-SW,1,185,13,061,1,65,2,0,0,0,1,32
10000571,10000571,BA-BMHRM,1,15,14,,0,80,0,0,0,0,0,20
10000571,10000571,BA-BMHRM-SW,1,15,13,064,0,80,0,0,0,0,0,20
10000571,10000571,BA-BMINT,1,10,24,,0,80,0,0,0,0,0,20
10000571,10000571,BA-BMINT-SW,1,185,13,061,1,65,2,0,0,0,1,32
10000571,10000571,BA-BMLAW,1,185,13,061,1,65,2,0,0,0,1,32
10000571,10000571,BA-BMLAW-SW,1,185,13,061,1,65,2,0,0,0,1,32
10000571,10000571,BA-BMM,1,45,14,,0,90,0,0,0,0,0,10
10000571,10000571,BA-BMM-SW,1,15,12,26,0,80,0,0,0,0,0,20
10000571,10000571,BA-BMTM,1,275,11,D,1,69,1,0,0,0,1,28
10000571,10000571,BA-BMTM-SW,1,275,11,D,1,69,1,0,0,0,1,28
10000571,10000571,BA-CAP,1,50,14,,0,70,0,0,0,0,0,25
10000571,10000571,BA-CM,1,50,14,,0,85,0,0,0,0,0,15
